RockWell A,Approx Tensile in (kPsi),Mpa
81.2,320,2206.1
80.7,310,2137.1
80.1,300,2068.2
79.6,290,1999.3
79,282,1944.1
78.5,274,1889
78,266,1833.8
77.4,257,1771.8
76.8,245,1689
76.3,239,1647.7
75.9,233,1606.3
75.2,227,1564.9
74.7,221,1523.6
74.1,217,1496
73.6,212,1461.5
73.1,206,1420.2
72.5,200,1378.8
72,196,1351.2
71.5,191,1316.8
70.9,187,1289.2
70.4,182,1254.7
69.9,177,1220.2
69.4,173,1192.7
68.9,169,1165.1
68.4,165,1137.5
67.9,160,1103
67.4,156,1075.5
66.8,152,1047.9
66.3,147,1013.4
65.8,144,992.7
65.3,140,965.2
64.7,137,944.5
64.3,133,916.9
63.8,129,889.3
63.3,126,868.6
62.8,124,854.9
62.4,121,834.2
62,118,813.5
61.5,115,792.8
61,112,772.1
60.5,109,751.4
59,106,730.8
58,103,710.1
57.5,100,689.4
57,98,675.6
56.5,96,661.8
56,93,641.1
55.5,91,627.4
55,88,606.7
54,86,592.9
53.5,84,579.1
53,83,572.2
52.5,81,558.4
52,79,544.6
51,78,537.7
50.5,76,523.9
50,75,517.1
49.5,73,503.3
