RockWell D,Approx Tensile in (kPsi),Mpa
70.7,320,2206.1
69.9,310,2137.1
69.2,300,2068.2
68.5,290,1999.3
67.7,282,1944.1
66.9,274,1889
66.1,266,1833.8
65.4,257,1771.8
64.6,245,1689
63.8,239,1647.7
63.1,233,1606.3
62.1,227,1564.9
61.4,221,1523.6
60.8,217,1496
60,212,1461.5
59.2,206,1420.2
58.5,200,1378.8
57.7,196,1351.2
56.9,191,1316.8
56.2,187,1289.2
55.4,182,1254.7
54.6,177,1220.2
53.8,173,1192.7
53.1,169,1165.1
52.3,165,1137.5
51.5,160,1103
50.8,156,1075.5
50,152,1047.9
49.2,147,1013.4
48.4,144,992.7
47.7,140,965.2
47,137,944.5
46.1,133,916.9
45.2,129,889.3
44.6,126,868.6
43.8,124,854.9
43.1,121,834.2
42.1,118,813.5
41.6,115,792.8
40.9,112,772.1
40.1,109,751.4
