Rockwell C,Approx Tensile (1K psi),
60,320,2206.3
59,310,2137.4
58,300,2068.4
57,290,1999.5
56,282,1944.3
55,274,1889.2
54,266,1834.0
53,257,1772.0
52,245,1689.2
51,239,1647.8
50,233,1606.5
49,227,1565.1
48,221,1523.7
47,217,1496.2
46,212,1461.7
45,206,1420.3
44,200,1379.0
43,196,1351.4
42,191,1316.9
41,187,1289.3
40,182,1254.8
39,177,1220.4
38,173,1192.8
37,169,1165.2
36,165,1137.6
35,160,1103.2
34,156,1075.6
33,152,1048.0
32,147,1013.5
31,144,992.8
30,140,965.3
29,137,944.6
28,133,917.0
27,129,889.4
26,126,868.7
25,124,854.9
24,121,834.3
23,118,813.6
22,115,792.9
21,112,772.2
20,109,751.5
18,106,730.8
16,103,710.2
15,100,689.5
13,98,675.7
12,96,661.9
10,93,641.2
9,91,627.4
8,88,606.7
7,86,592.9
6,84,579.2
5,83,572.3
4,81,558.5
3,79,544.7
2,78,537.8
1,76,524.0
0,75,517.1
