RockWell Superficial 30-N,Approx Tensile in (kPsi),Mpa
77.5,320,2206.1
76.6,310,2137.1
75.7,300,2068.2
74.8,290,1999.3
73.9,282,1944.1
73,274,1889
72,266,1833.8
71.2,257,1771.8
70.2,245,1689
69.4,239,1647.7
68.5,233,1606.3
67.6,227,1564.9
66.7,221,1523.6
65.8,217,1496
64.8,212,1461.5
64,206,1420.2
63.1,200,1378.8
62.2,196,1351.2
61.3,191,1316.8
60.4,187,1289.2
59.5,182,1254.7
58.6,177,1220.2
57.7,173,1192.7
56.8,169,1165.1
55.9,165,1137.5
55,160,1103
54.2,156,1075.5
53.3,152,1047.9
52.1,147,1013.4
51.3,144,992.7
50.4,140,965.2
49.5,137,944.5
48.6,133,916.9
47.7,129,889.3
46.8,126,868.6
45.9,124,854.9
45,121,834.2
44,118,813.5
43.2,115,792.8
42.3,112,772.1
41.5,109,751.4
