Rockwell Superficial 15N,Approx Tensile in (Kpsi),Mpa
90.2,320,2206.1
89.8,310,2137.1
89.3,300,2068.2
88.9,290,1999.3
88.3,282,1944.1
87.9,274,1889
87.4,266,1833.8
86.9,257,1771.8
86.4,245,1689
85.9,239,1647.7
58.5,233,1606.3
85,227,1564.9
84.5,221,1523.6
83.9,217,1496
83.5,212,1461.5
83,206,1420.2
82.5,200,1378.8
82,196,1351.2
81.5,191,1316.8
80.9,187,1289.2
80.4,182,1254.7
79.9,177,1220.2
79.4,173,1192.7
78.8,169,1165.1
78.3,165,1137.5
77.7,160,1103
77.2,156,1075.5
76.6,152,1047.9
76.1,147,1013.4
75.6,144,992.7
75,140,965.2
74.5,137,944.5
73.9,133,916.9
73.3,129,889.3
72.8,126,868.6
72.2,124,854.9
71.6,121,834.2
71,118,813.5
70.5,115,792.8
69.9,112,772.1
69.4,109,751.4
