Shore Sciero-scope,Approx Tensile in (Kpsi),Mpa
81,320,2206.1
80,310,2137.1
78,300,2068.2
76,290,1999.3
75,282,1944.1
74,274,1889
72,266,1833.8
71,257,1771.8
69,245,1689
68,239,1647.7
67,233,1606.3
66,227,1564.9
64,221,1523.6
63,217,1496
62,212,1461.5
60,206,1420.2
58,200,1378.8
57,196,1351.2
56,191,1316.8
55,187,1289.2
54,182,1254.7
52,177,1220.2
51,173,1192.7
50,169,1165.1
49,165,1137.5
48,160,1103
47,156,1075.5
46,152,1047.9
44,147,1013.4
43,144,992.7
42,140,965.2
41,137,944.5
41,133,916.9
40,129,889.3
39,126,868.6
38,124,854.9
37,121,834.2
36,118,813.5
35,115,792.8
35,112,772.1
34,109,751.4
33,106,730.8
32,103,710.1
31,100,689.4
30,98,675.6
29,96,661.8
28,93,641.1
27,91,627.4
26,88,606.7
26,86,592.9
26,84,579.1
25,83,572.2
25,81,558.4
25,79,544.6
24,78,537.7
24,76,523.9
24,75,517.1
